director,actor2,genres,actor1,title,actor3,comb
Malcolm Goodwin,Jon Gries,Comedy,Katrina Bowden,a true story,Kelen Coleman,Katrina Bowden Jon Gries Kelen Coleman Malcolm Goodwin Comedy
David Gordon Green,Eddie Rouse,Drama,Paul Schneider,george washington,Damian Jewan Lee,Paul Schneider Eddie Rouse Damian Jewan Lee David Gordon Green Drama
Kevin Jordan,Christa Miller,Comedy Romance,Derick Martini,smiling fish & goat on fire,Ion Overman,Derick Martini Christa Miller Ion Overman Kevin Jordan Comedy Romance
Kirk Loudon,Johnny Walter,Drama Sci-Fi Thriller,Barry Corbin,dawn of the crescent moon,Shiree Nelson,Barry Corbin Johnny Walter Shiree Nelson Kirk Loudon Drama Sci-Fi Thriller
Travis Legge,Patricia Raven,Horror,Elissa Dowling,raymond did it,Lindsay Felton,Elissa Dowling Patricia Raven Lindsay Felton Travis Legge Horror
Martin Scorsese,Levon Helm,Documentary Music,Ringo Starr,the last waltz,Bob Dylan,Ringo Starr Levon Helm Bob Dylan Martin Scorsese Documentary Music
Collin Joseph Neal,Thomas Brophy,Horror Thriller,Julianne Gabert,"run, hide, die",Ronee Collins,Julianne Gabert Thomas Brophy Ronee Collins Collin Joseph Neal Horror Thriller
Bradley Rust Gray,Mark Rendall,Drama,Zoe Kazan,the exploding girl,Jordan Scovel,Zoe Kazan Mark Rendall Jordan Scovel Bradley Rust Gray Drama
Mike Bruce,Kirpatrick Thomas,Western,Joseph Campanella,the legend of god's gun,Christian Anderson,Joseph Campanella Kirpatrick Thomas Christian Anderson Mike Bruce Western
Andrew Bujalski,Kate Dollenmayer,Comedy,Andrew Bujalski,mutual appreciation,Justin Rice,Andrew Bujalski Kate Dollenmayer Justin Rice Andrew Bujalski Comedy
Damir Catic,Ron Gelner,Horror,Nichole Ceballos,her cry: la llorona investigation,Parker Riggs,Nichole Ceballos Ron Gelner Parker Riggs Damir Catic Horror
Ben Wheatley,Tony Way,Comedy Crime Drama,Michael Smiley,down terrace,David Schaal,Michael Smiley Tony Way David Schaal Ben Wheatley Comedy Crime Drama
Kevin Smith,Brian O'Halloran,Comedy,Jason Mewes,clerks,Jeff Anderson,Jason Mewes Brian O'Halloran Jeff Anderson Kevin Smith Comedy
James Bidgood,Bobby Kendall,Drama Fantasy,Don Brooks,pink narcissus,,Don Brooks Bobby Kendall  James Bidgood Drama Fantasy
Andrew Bujalski,Kate Dollenmayer,Comedy Drama,Andrew Bujalski,funny ha ha,Justin Rice,Andrew Bujalski Kate Dollenmayer Justin Rice Andrew Bujalski Comedy Drama
Neil LaBute,Matt Malloy,Comedy Drama,Stacy Edwards,in the company of men,Jason Dixie,Stacy Edwards Matt Malloy Jason Dixie Neil LaBute Comedy Drama
David Ayer,Martin Donovan,Action Crime Drama Thriller,Mireille Enos,sabotage,Maurice Compte,Mireille Enos Martin Donovan Maurice Compte David Ayer Action Crime Drama Thriller
Eric Eason,Panchito Gómez,Drama Family,Franky G,manito,Casper Martinez,Franky G Panchito Gómez Casper Martinez Eric Eason Drama Family
Richard Linklater,Richard Linklater,Comedy Drama,Tommy Pallotta,slacker,Jean Caffeine,Tommy Pallotta Richard Linklater Jean Caffeine Richard Linklater Comedy Drama
Joseph Mazzella,Mikaal Bates,Crime Drama Thriller,Tjasa Ferme,dutch kills,Damon Owlia,Tjasa Ferme Mikaal Bates Damon Owlia Joseph Mazzella Crime Drama Thriller
Travis Legge,Suzi Lorraine,Comedy Romance,Kristen Seavey,dry spell,Travis Legge,Kristen Seavey Suzi Lorraine Travis Legge Travis Legge Comedy Romance
Alex Kendrick,Lisa Arnold,Drama,Shannen Fields,flywheel,Janet Lee Dapper,Shannen Fields Lisa Arnold Janet Lee Dapper Alex Kendrick Drama
Marcus Nispel,Brittany Curran,Horror Mystery Thriller,Ashley Tramonte,exeter,Lindsay MacDonald,Ashley Tramonte Brittany Curran Lindsay MacDonald Marcus Nispel Horror Mystery Thriller
Brandon Landers,Alana Kaniewski,Drama Horror Thriller,Robbie Barnes,the ridges,Brandon Landers,Robbie Barnes Alana Kaniewski Brandon Landers Brandon Landers Drama Horror Thriller
Jay Duplass,Katie Aselton,Comedy Drama Romance,Mark Duplass,the puffy chair,Bari Hyman,Mark Duplass Katie Aselton Bari Hyman Jay Duplass Comedy Drama Romance
Daryl Wein,Heather Burns,Romance,Zoe Lister-Jones,breaking upwards,Ebon Moss-Bachrach,Zoe Lister-Jones Heather Burns Ebon Moss-Bachrach Daryl Wein Romance
Jason Trost,Jason Trost,Sci-Fi Thriller,Sean Whalen,all superheroes must die,Nick Principe,Sean Whalen Jason Trost Nick Principe Jason Trost Sci-Fi Thriller
John Waters,Mink Stole,Comedy Crime Horror,Divine,pink flamingos,Edith Massey,Divine Mink Stole Edith Massey John Waters Comedy Crime Horror
Ivan Kavanagh,Michael Parle,Horror,Patrick O'Donnell,tin can man,Emma Eliza Regan,Patrick O'Donnell Michael Parle Emma Eliza Regan Ivan Kavanagh Horror
Tadeo Garcia,Michael Cortez,Drama,Tatiana Suarez-Pico,on the downlow,Eric Ambriz,Tatiana Suarez-Pico Michael Cortez Eric Ambriz Tadeo Garcia Drama
Thomas L. Phillips,Joe Coffey,Comedy Horror Thriller,Julianna Pitt,sanctuary; quite a conundrum,John Lucas,Julianna Pitt Joe Coffey John Lucas Thomas L. Phillips Comedy Horror Thriller
Ash Baron-Cohen,Stanley B. Herman,Crime Drama,Peter Greene,bang,James Noble,Peter Greene Stanley B. Herman James Noble Ash Baron-Cohen Crime Drama
Shane Carruth,David Sullivan,Drama Sci-Fi Thriller,Shane Carruth,primer,Casey Gooden,Shane Carruth David Sullivan Casey Gooden Shane Carruth Drama Sci-Fi Thriller
Neill Dela Llana,Edgar Tancangco,Thriller,Ian Gamazon,cavite,Quynn Ton,Ian Gamazon Edgar Tancangco Quynn Ton Neill Dela Llana Thriller
Anthony Vallone,John Considine,Crime Drama,Richard Jewell,the mongol king,Sara Stepnicka,Richard Jewell John Considine Sara Stepnicka Anthony Vallone Crime Drama
Edward Burns,Caitlin FitzGerald,Comedy Drama,Kerry Bishé,newlyweds,Daniella Pineda,Kerry Bishé Caitlin FitzGerald Daniella Pineda Edward Burns Comedy Drama
Scott Smith,Daphne Zuniga,Comedy Drama,Eric Mabius,signed sealed delivered,Crystal Lowe,Eric Mabius Daphne Zuniga Crystal Lowe Scott Smith Comedy Drama
,Valorie Curry,Crime Drama Mystery Thriller,Natalie Zea,the following            ,Sam Underwood,Natalie Zea Valorie Curry Sam Underwood  Crime Drama Mystery Thriller
Benjamin Roberds,Maxwell Moody,Drama Horror Thriller,Eva Boehnke,a plague so pleasant,David Chandler,Eva Boehnke Maxwell Moody David Chandler Benjamin Roberds Drama Horror Thriller
Daniel Hsia,Daniel Henney,Comedy Drama Romance,Alan Ruck,shanghai calling,Eliza Coupe,Alan Ruck Daniel Henney Eliza Coupe Daniel Hsia Comedy Drama Romance
Jon Gunn,Brian Herzlinger,Documentary,John August,my date with drew,Jon Gunn,John August Brian Herzlinger Jon Gunn Jon Gunn Documentary
Joachim Rønning Espen Sandberg,Javier Bardem,Adventure,Johnny Depp,pirates of the caribbean: dead men tell no tales,Geoffrey Rush,Johnny Depp Javier Bardem Geoffrey Rush Joachim Rønning Espen Sandberg Adventure
Zack Snyder,Henry Cavill,Action,Ben Affleck,justice league,Gal Gadot,Ben Affleck Henry Cavill Gal Gadot Zack Snyder Action
Taika Waititi,Tom Hiddleston,Action,Chris Hemsworth,thor: ragnarok,Cate Blanchett,Chris Hemsworth Tom Hiddleston Cate Blanchett Taika Waititi Action
James Gunn,Zoe Saldana,Action,Chris Pratt,guardians of the galaxy vol. 2,Dave Bautista,Chris Pratt Zoe Saldana Dave Bautista James Gunn Action
Sean McNamara,William Hurt,Fantasy,Pierce Brosnan,the king's daughter,Benjamin Walker,Pierce Brosnan William Hurt Benjamin Walker Sean McNamara Fantasy
Adam Spinks,Sarah Mac,Thriller,Ben Loyd-Holmes,extinction jurassic predators 2017,Neil Newbon,Ben Loyd-Holmes Sarah Mac Neil Newbon Adam Spinks Thriller
Rucha Humnabadkar,Melanie Chandra,Drama,Ali Fazal,for here or to go?,Omi Vaidya,Ali Fazal Melanie Chandra Omi Vaidya Rucha Humnabadkar Drama
Peter Hutchings,Eden Sher,Comedy,Victoria Justice,the outcasts,Ashley Rickards,Victoria Justice Eden Sher Ashley Rickards Peter Hutchings Comedy
Kevin Munroe,Ian James Corlett,Animation,Chris Murphy,sly cooper,Matt Olsen,Chris Murphy Ian James Corlett Matt Olsen Kevin Munroe Animation
James Ponsoldt,Tom Hanks,Drama,Emma Watson,the circle,John Boyega,Emma Watson Tom Hanks John Boyega James Ponsoldt Drama
Trish Sie,Rebel Wilson,Comedy,Anna Kendrick,pitch perfect 3,Brittany Snow,Anna Kendrick Rebel Wilson Brittany Snow Trish Sie Comedy
Sean Byrne,Shiri Appleby,Horror,Ethan Embry,the devil's candy,Kiara Glasco,Ethan Embry Shiri Appleby Kiara Glasco Sean Byrne Horror
Lloyd Kaufman,Catherine Corcoran,Comedy,Asta Paredes,"return to return to nuke 'em high, aka volume 2",Zac Amino,Asta Paredes Catherine Corcoran Zac Amino Lloyd Kaufman Comedy
David Jackson,Samantha Boscarino,TV Movie,Amanda Leighton,the cheerleader murders,Hannah Kasulka,Amanda Leighton Samantha Boscarino Hannah Kasulka David Jackson TV Movie
Demetri Martin,Gillian Jacobs,Comedy,Demetri Martin,dean,Christine Woods,Demetri Martin Gillian Jacobs Christine Woods Demetri Martin Comedy
Alexandre Bustillo Julien Maury,Lili Taylor,Horror,Stephen Dorff,leatherface,Sam Strike,Stephen Dorff Lili Taylor Sam Strike Alexandre Bustillo Julien Maury Horror
Johannes Roberts,Mandy Moore,Drama,Claire Holt,47 meters down,Chris Johnson,Claire Holt Mandy Moore Chris Johnson Johannes Roberts Drama
Gabe Klinger,Anton Yelchin,Romance,Lucie Lucas,porto,Paulo Calatré,Lucie Lucas Anton Yelchin Paulo Calatré Gabe Klinger Romance
Aaron Leong,Alexandria DeBerry,Comedy,Sean O'Donnell,mamaboy,Gary Busey,Sean O'Donnell Alexandria DeBerry Gary Busey Aaron Leong Comedy
Olivia Neergaard-Holm Jon Nguyen Rick Barnes,,Documentary,,david lynch: the art life,,   Olivia Neergaard-Holm Jon Nguyen Rick Barnes Documentary
Terry George,Charlotte Le Bon,History,Oscar Isaac,the promise,Christian Bale,Oscar Isaac Charlotte Le Bon Christian Bale Terry George History
Benny Boom,Danai Gurira,Drama,Demetrius Shipp Jr.,all eyez on me,Kat Graham,Demetrius Shipp Jr. Danai Gurira Kat Graham Benny Boom Drama
Nacho Vigalondo,Jason Sudeikis,Action,Anne Hathaway,colossal,Tim Blake Nelson,Anne Hathaway Jason Sudeikis Tim Blake Nelson Nacho Vigalondo Action
Terrence Malick,,Documentary,,voyage of time: life's journey,,   Terrence Malick Documentary
Derrick Borte,Daniel Huttlestone,Drama,Jonathan Rhys Meyers,london town,Dougray Scott,Jonathan Rhys Meyers Daniel Huttlestone Dougray Scott Derrick Borte Drama
Martin Koolhoven,Dakota Fanning,Mystery,Guy Pearce,brimstone,Carice van Houten,Guy Pearce Dakota Fanning Carice van Houten Martin Koolhoven Mystery
Alex Helfrecht Jörg Tittel,Jonathan Pryce,Drama,Agyness Deyn,the white king,Fiona Shaw,Agyness Deyn Jonathan Pryce Fiona Shaw Alex Helfrecht Jörg Tittel Drama
Laura Poitras,Sarah Harrison,Documentary,Julian Assange,risk,Jacob Appelbaum,Julian Assange Sarah Harrison Jacob Appelbaum Laura Poitras Documentary
Sara Jordenö,,Documentary,,kiki,,   Sara Jordenö Documentary
Eddie O'Keefe,Luke Grimes,Romance,Emily Browning,shangri-la suite,Ron Livingston,Emily Browning Luke Grimes Ron Livingston Eddie O'Keefe Romance
Peter Chelsom,Britt Robertson,Romance,Asa Butterfield,the space between us,Carla Gugino,Asa Butterfield Britt Robertson Carla Gugino Peter Chelsom Romance
Sonia Kennebeck,,Documentary,,national bird,,   Sonia Kennebeck Documentary
Raoul Peck,James Baldwin,Documentary,Samuel L. Jackson,i am not your negro,Malcolm X,Samuel L. Jackson James Baldwin Malcolm X Raoul Peck Documentary
Lasse Hallström,Britt Robertson,Comedy,Dennis Quaid,a dog's purpose,Josh Gad,Dennis Quaid Britt Robertson Josh Gad Lasse Hallström Comedy
Julian Rosefeldt,Erika Bauer,Drama,Cate Blanchett,manifesto,Ruby Bustamante,Cate Blanchett Erika Bauer Ruby Bustamante Julian Rosefeldt Drama
Jeff Baena,Dave Franco,Comedy,Alison Brie,the little hours,Aubrey Plaza,Alison Brie Dave Franco Aubrey Plaza Jeff Baena Comedy
Richie Keen,Ice Cube,Comedy,Charlie Day,fist fight,Tracy Morgan,Charlie Day Ice Cube Tracy Morgan Richie Keen Comedy
Baran bo Odar,Michelle Monaghan,Action,Jamie Foxx,sleepless,Dermot Mulroney,Jamie Foxx Michelle Monaghan Dermot Mulroney Baran bo Odar Action
Gore Verbinski,Jason Isaacs,Mystery,Dane DeHaan,a cure for wellness,Mia Goth,Dane DeHaan Jason Isaacs Mia Goth Gore Verbinski Mystery
D.J. Caruso,Ice Cube,Action,Vin Diesel,xxx: return of xander cage,Samuel L. Jackson,Vin Diesel Ice Cube Samuel L. Jackson D.J. Caruso Action
Stacy Title,Lucien Laviscount,Horror,Douglas Smith,the bye bye man,Cressida Bonas,Douglas Smith Lucien Laviscount Cressida Bonas Stacy Title Horror
Alice Lowe,Jo Hartley,Horror,Alice Lowe,prevenge,Kate Dickie,Alice Lowe Jo Hartley Kate Dickie Alice Lowe Horror
Chris McKay,Zach Galifianakis,Action,Will Arnett,the lego batman movie,Michael Cera,Will Arnett Zach Galifianakis Michael Cera Chris McKay Action
G.J. Echternkamp,Malcolm McDowell,Action,Manu Bennett,death race 2050,Marci Miller,Manu Bennett Malcolm McDowell Marci Miller G.J. Echternkamp Action
Adam Smith,Brendan Gleeson,Action,Michael Fassbender,trespass against us,Lyndsey Marshal,Michael Fassbender Brendan Gleeson Lyndsey Marshal Adam Smith Action
Lisa Robinson Annie J. Howell,Chris Beetem,Drama,Betsy Brandt,claire in motion,Zev Haworth,Betsy Brandt Chris Beetem Zev Haworth Lisa Robinson Annie J. Howell Drama
Emily Hagins,Alexis G. Zall,Family,Alex Saxon,coin heist,Sasha Pieterse,Alex Saxon Alexis G. Zall Sasha Pieterse Emily Hagins Family
F. Javier Gutiérrez,Alex Roe,Horror,Matilda Anna Ingrid Lutz,rings,Johnny Galecki,Matilda Anna Ingrid Lutz Alex Roe Johnny Galecki F. Javier Gutiérrez Horror
Alistair Legrand,Kevin Rahm,Thriller,Vinessa Shaw,clinical,Aaron Stanford,Vinessa Shaw Kevin Rahm Aaron Stanford Alistair Legrand Thriller
Jeannie Gaffigan,,Comedy,,jim gaffigan: cinco,,   Jeannie Gaffigan Comedy
Aram Rappaport,Minnie Driver,Crime,Frank Grillo,the crash,AnnaSophia Robb,Frank Grillo Minnie Driver AnnaSophia Robb Aram Rappaport Crime
Jordan Peele,Allison Williams,Mystery,Daniel Kaluuya,get out,Bradley Whitford,Daniel Kaluuya Allison Williams Bradley Whitford Jordan Peele Mystery
Jordan Vogt-Roberts,Samuel L. Jackson,Action,Tom Hiddleston,kong: skull island,Brie Larson,Tom Hiddleston Samuel L. Jackson Brie Larson Jordan Vogt-Roberts Action
Pete Travis,Billie Piper,Crime,Riz Ahmed,city of tiny lights,James Floyd,Riz Ahmed Billie Piper James Floyd Pete Travis Crime
Danny Boyle,Jonny Lee Miller,Crime,Ewan McGregor,t2 trainspotting,Ewen Bremner,Ewan McGregor Jonny Lee Miller Ewen Bremner Danny Boyle Crime
Shane Abbess,Daniel MacPherson,Sci-Fi,Kellan Lutz,science fiction volume one: the osiris child,Isabel Lucas,Kellan Lutz Daniel MacPherson Isabel Lucas Shane Abbess Sci-Fi
Ry Russo-Young,Halston Sage,Mystery,Zoey Deutch,before i fall,Logan Miller,Zoey Deutch Halston Sage Logan Miller Ry Russo-Young Mystery
Michael Showalter,Zoe Kazan,Comedy,Kumail Nanjiani,the big sick,Holly Hunter,Kumail Nanjiani Zoe Kazan Holly Hunter Michael Showalter Comedy
Matt Spicer,Elizabeth Olsen,Drama,Aubrey Plaza,ingrid goes west,O'Shea Jackson Jr.,Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr. Matt Spicer Drama
Macon Blair,Elijah Wood,Comedy,Melanie Lynskey,i don't feel at home in this world anymore,David Yow,Melanie Lynskey Elijah Wood David Yow Macon Blair Comedy
Guy Ritchie,Astrid Bergès-Frisbey,Action,Charlie Hunnam,king arthur: legend of the sword,Jude Law,Charlie Hunnam Astrid Bergès-Frisbey Jude Law Guy Ritchie Action
Bill Condon,Dan Stevens,Family,Emma Watson,beauty and the beast,Luke Evans,Emma Watson Dan Stevens Luke Evans Bill Condon Family
Chester Tam,Andy Samberg,Comedy,Stella Maeve,take the 10,Josh Peck,Stella Maeve Andy Samberg Josh Peck Chester Tam Comedy
Tom McGrath,Miles Bakshi,Animation,Alec Baldwin,the boss baby,Jimmy Kimmel,Alec Baldwin Miles Bakshi Jimmy Kimmel Tom McGrath Animation
Jay Oliva,Jason O'Mara,Action,Matt Ryan,justice league dark,Camilla Luddington,Matt Ryan Jason O'Mara Camilla Luddington Jay Oliva Action
Luca Guadagnino,Armie Hammer,Romance,Timothée Chalamet,call me by your name,Michael Stuhlbarg,Timothée Chalamet Armie Hammer Michael Stuhlbarg Luca Guadagnino Romance
Adam Randall,Maisie Williams,Action,Bill Milner,iboy,Rory Kinnear,Bill Milner Maisie Williams Rory Kinnear Adam Randall Action
Onur Tukel,Anne Heche,Comedy,Sandra Oh,catfight,Alicia Silverstone,Sandra Oh Anne Heche Alicia Silverstone Onur Tukel Comedy
David Lowery,Rooney Mara,Drama,Casey Affleck,a ghost story,Will Oldham,Casey Affleck Rooney Mara Will Oldham David Lowery Drama
Rupert Sanders,Michael Pitt,Action,Scarlett Johansson,ghost in the shell,Pilou Asbæk,Scarlett Johansson Michael Pitt Pilou Asbæk Rupert Sanders Action
Matt Murphy,James Rolleston,Action,Dean O'Gorman,pork pie,Ashleigh Cummings,Dean O'Gorman James Rolleston Ashleigh Cummings Matt Murphy Action
Jay Karas,,Comedy,,bill burr: walk your way out,,   Jay Karas Comedy
Karyn Kusama Jovanka Vuckovic Roxanne Benjamin St. Vincent,Melanie Lynskey,Horror,Natalie Brown,xx,Breeda Wool,Natalie Brown Melanie Lynskey Breeda Wool Karyn Kusama Jovanka Vuckovic Roxanne Benjamin St. Vincent Horror
James Foley,Jamie Dornan,Drama,Dakota Johnson,fifty shades darker,Eric Johnson,Dakota Johnson Jamie Dornan Eric Johnson James Foley Drama
Craig Johnson,Sandy Oian-Thomas,Drama,Woody Harrelson,wilson,Shaun Brown,Woody Harrelson Sandy Oian-Thomas Shaun Brown Craig Johnson Drama
Caradog W. James,Lucy Boynton,Horror,Katee Sackhoff,don't knock twice,Javier Botet,Katee Sackhoff Lucy Boynton Javier Botet Caradog W. James Horror
Ido Fluk,Malin Åkerman,Drama,Dan Stevens,the ticket,Kerry Bishé,Dan Stevens Malin Åkerman Kerry Bishé Ido Fluk Drama
Ed Gass-Donnelly,Dermot Mulroney,Drama,Abbie Cornish,lavender,Diego Klattenhoff,Abbie Cornish Dermot Mulroney Diego Klattenhoff Ed Gass-Donnelly Drama
Christopher Smith,Bel Powley,Thriller,Tye Sheridan,detour,Emory Cohen,Tye Sheridan Bel Powley Emory Cohen Christopher Smith Thriller
Bill Purple,Maisie Williams,Drama,Jason Sudeikis,the book of love,Jessica Biel,Jason Sudeikis Maisie Williams Jessica Biel Bill Purple Drama
Banks Tarver Ted Bourne Mary Robertson,,Documentary,,trumped: inside the greatest political upset of all time,,   Banks Tarver Ted Bourne Mary Robertson Documentary
Alex Grossman,Flavia Watson,Comedy,Troy Doherty,hickey,Raychel Diane Weiner,Troy Doherty Flavia Watson Raychel Diane Weiner Alex Grossman Comedy
Neal Brennan,,Comedy,,neal brennan: 3 mics,,   Neal Brennan Comedy
Akiva Schaffer Scott Aukerman,Adam Scott,Comedy,Michael Bolton,"michael bolton's big, sexy valentine's day special",Sarah Shahi,Michael Bolton Adam Scott Sarah Shahi Akiva Schaffer Scott Aukerman Comedy
Evan Oppenheimer,Emily Atack,Adventure,Brett Dalton,lost in florence,Stana Katic,Brett Dalton Emily Atack Stana Katic Evan Oppenheimer Adventure
Ben Browder,Sean Astin,Mystery,Gina Gershon,bad kids of crestview academy,Sammi Hanratty,Gina Gershon Sean Astin Sammi Hanratty Ben Browder Mystery
Oliver Schmitz,Steve Coogan,Drama,Andrea Riseborough,shepherds and butchers,Deon Lotz,Andrea Riseborough Steve Coogan Deon Lotz Oliver Schmitz Drama
James Franco,Nat Wolff,Drama,James Franco,in dubious battle,Selena Gomez,James Franco Nat Wolff Selena Gomez James Franco Drama
Cate Shortland,Max Riemelt,Mystery,Teresa Palmer,berlin syndrome,Matthias Habich,Teresa Palmer Max Riemelt Matthias Habich Cate Shortland Mystery
Jenny Gage,Lena M.,Documentary,Dusty Rose Ryan,all this panic,Ginger Leigh Ryan,Dusty Rose Ryan Lena M. Ginger Leigh Ryan Jenny Gage Documentary
Joel David Moore,Billy Crudup,Comedy,Frank Langella,youth in oregon,Christina Applegate,Frank Langella Billy Crudup Christina Applegate Joel David Moore Comedy
Terrence Malick,Ryan Gosling,Drama,Michael Fassbender,song to song,Rooney Mara,Michael Fassbender Ryan Gosling Rooney Mara Terrence Malick Drama
Marti Noxon,Carrie Preston,Drama,Lily Collins,to the bone,Lili Taylor,Lily Collins Carrie Preston Lili Taylor Marti Noxon Drama
